gwicid,site_name,latitude,longitude,geomethod,datum_latl,date_latlo,altitude,method_alt,datum_alti,date_altit,township,range,qsection,county,state,drainage_b,addition_s,block,lot,certofsurv,parcel,assessortr,geocode,site_type,total_dept,swl,date_compl,how_drille,drilling_c,driller_na,driller_li,driller__1,driller_fi,verified_t,abandoned_,date_aband,status,flowing,depth_wate,aquifer,priority,well_use,welluse_pr,field_visi,samples,swl_meas,network,calc_loc,ver_loc,report_lin,all_water_,yield_gpm,pumping_wa,dnrc_water,geometry
151179,MISSOULA COUNTY WQD WELL W132014D,46.883223236,-114.091145293,MAP,NAD83,,3147.1,SURVEY,NAVD88,,13N,20W,DBCA,MISSOULA,MT,PD,,,,,,,,WELL,42.0,21.5,1995-01-05,ROTARY,WESTERN,,,0,,118908,,,NEW WELL,,12.0,111ALVM,1,,0,1,25,104,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=151179&reqby=M&,MONITORING,,,,POINT (-114.09114529299995 46.88322323600005)
151189,MCWQD SPURGIN TO TOWER,46.856421005556,-114.060540911111,SUR-GPS,NAD83,2009-06-30,3154.44,SUR-GPS,NAVD88,2009-06-30,13N,20W,ADAD,MISSOULA,MT,PD,,,,,,,,WELL,50.0,25.2,1985-12-13,,,,,0,,,,,NEW WELL,,38.0,112ALVM,1,,0,3,9,103223,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=151189&reqby=M&,MONITORING,,,,POINT (-114.06054091099998 46.85642100600006)
157214,MISSOULA COUNTY WQD WELL  W131911D,46.900124286,-113.966441413,MAP,NAD83,,3442.22,SURVEY,NAVD88,,13N,19W,ACCC,MISSOULA,MT,PD,,,,,,,,WELL,100.0,75.0,1996-02-21,,WESTERN,,,0,,118593,,,NEW WELL,,90.0,112ALVM,1,,0,1,9,100,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=157214&reqby=M&,MONITORING,,,,POINT (-113.96644141299998 46.90012428600005)
151101,MISSOULA COUNTY WQD WELL W132026D,46.855723269,-114.092545118,MAP,NAD83,,3119.8,SURVEY,NAVD88,,13N,20W,DBBB,MISSOULA,MT,PE,,,,,,,,WELL,25.0,14.0,1995-01-12,AIR ROTARY,WESTERN WATER WORKS INC,,,0,,118909,,,NEW WELL,,5.0,112ALVM,1,,0,2,9,104,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=151101&reqby=M&,MONITORING,,,,POINT (-114.09254511799998 46.855723269000066)
67037,MISSOULA COUNTY WQD WELL U122001A,46.833012,-114.051838,TRS-SEC,NAD83,,3145.4,SURVEY,NAVD88,,12N,20W,ABAD,MISSOULA,MT,PE,,,,,,,,WELL,38.0,27.0,1985-12-20,FORWARD ROTARY,CAMP WELL DRILLING,,WWC,7,,010128,,,NEW WELL,,24.0,111ALVM,1,,0,2,9,125,STATEWIDE,YES,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=67037&reqby=M&,MONITORING,,,,POINT (-114.05183799999998 46.83301200000005)
151191,MISSOULA COUNTY WQD WELL U131922C,46.8662,-113.988899,TRS-SEC,NAD83,,3189.48,SURVEY,NAVD88,,13N,19W,CDABD,MISSOULA,MT,PD,,,,,,,,WELL,53.0,36.4,1985-12-16,,,,,0,,,,,NEW WELL,,31.0,112ALVM,1,,0,4,9,124,STATEWIDE,YES,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=151191&reqby=M&,MONITORING,25.00 (AIR),,,POINT (-113.98889899999995 46.86620000000005)
157208,MISSOULA COUNTY WQD WELL W131928A2,46.8578,-114.0021,NAV-GPS,NAD83,1999-06-21,3204.1,SURVEY,NAVD88,,13N,19W,ACDAA,MISSOULA,MT,PD,,,,,,,,WELL,113.0,0.0,1996-02-09,,MISSION,,,0,,118587,,,NEW WELL,,113.0,112ALVM,1,,0,2,10,102,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=157208&reqby=M&,MONITORING,,,,POINT (-114.00209999999998 46.857800000000054)
69402,MISSOULA COUNTY WQD WELL U131933B,46.849023577,-114.00814308,MAP,NAD83,,3193.56,SURVEY,NAVD88,,13N,19W,BAAA,MISSOULA,MT,PE,,,,,,,,WELL,76.3,65.0,1986-04-07,ROTARY,CAMP WELL DRILLING,,WWC,7,,010408,,,NEW WELL,,60.3,112ALVM,1,,0,3,9,114,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=69402&reqby=M&,MONITORING,10.00 (AIR),76.00 (AIR),,POINT (-114.00814307999997 46.849023577000025)
151081,MISSOULA COUNTY WQD WELL W131914C,46.879324068,-113.976141827,MAP,NAD83,,3268.84,SURVEY,NAVD88,,13N,19W,CCCB,MISSOULA,MT,PD,,,,,,,,WELL,24.0,10.0,1995-02-26,AIR ROTARY,WESTERN WATER WORKS INC,,,0,,118902,,,NEW WELL,,4.0,111ALVM,1,,0,1,9,103,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=151081&reqby=M&,MONITORING,,,,POINT (-113.97614182699999 46.879324068000074)
151061,MISSOULA COUNTY WQD WELL W131908C,46.892423499,-114.039744021,MAP,NAD83,,3171.17,SURVEY,NAVD88,,13N,19W,CCCC,MISSOULA,MT,PD,,,,,,,,WELL,50.0,38.0,1995-02-28,AIR ROTARY,WESTERN WATER WORKS INC,,,0,,118901,,,NEW WELL,,20.0,112ALVM,1,,0,1,9,102,STATEWIDE,NO,YES,http://mbmggwic.mtech.edu/sqlserver/v11/reports/SiteSummary.asp?gwicid=151061&reqby=M&,MONITORING,,,,POINT (-114.03974402099999 46.892423499000074)
